number,name,date,boolean
1996,Treeflex,11/2/2015,true
1991,Konklab,9/4/2016,true
1998,Veribet,1/25/2016,false
2010,Latlux,1/30/2016,false
1992,Voltsillam,5/14/2016,true
1992,Daltfresh,7/15/2016,true
1999,Otcom,9/1/2016,true
2004,Tampflex,1/28/2016,false
2008,Bamity,6/13/2016,true
2016,Bytecard,3/6/2016,true
2010,Cardguard,4/28/2016,true
1991,Viva,12/1/2015,true
1997,Cardguard,6/8/2016,false
1993,Tresom,12/5/2015,false
2000,Latlux,10/21/2015,false
1991,Konklux,10/21/2015,false
2000,Temp,9/18/2016,false
1990,Voltsillam,7/14/2016,false
1994,Domainer,2/1/2016,false
2010,Namfix,7/3/2016,true
2002,Cardify,10/20/2015,true
1991,Zontrax,6/5/2016,false
2003,Solarbreeze,12/24/2015,false
1992,Stringtough,12/7/2015,false
2006,Domainer,4/23/2016,false
1997,Latlux,7/27/2016,true
1994,Fintone,11/3/2015,false
2010,Flowdesk,4/11/2016,false
1992,Konklab,9/4/2016,false
2010,Bitwolf,8/18/2016,false
2010,Y-Solowarm,9/16/2016,true
2012,Zamit,11/2/2015,false
2006,Latlux,5/18/2016,false
1997,Ronstring,10/18/2015,true
1999,Stim,12/26/2015,false
2014,Holdlamis,9/23/2016,false
2000,Sonsing,9/29/2016,false
1992,Subin,10/27/2015,true
1993,Regrant,7/14/2016,false
2011,Sonair,3/16/2016,false
1991,Veribet,10/10/2015,false
2006,Bigtax,5/4/2016,false
1999,Fintone,12/13/2015,true
2012,Wrapsafe,1/8/2016,true
2013,Rank,6/20/2016,true
2005,Konklab,3/17/2016,false
2007,Ventosanzap,7/16/2016,true
1993,It,8/2/2016,false
2006,Otcom,3/27/2016,false
1999,Overhold,7/25/2016,true
2013,Subin,8/31/2016,false
1996,Vagram,8/2/2016,false
1990,Bitwolf,10/22/2015,false
2013,Voltsillam,11/7/2015,true
2011,Fix San,8/3/2016,true
1991,Tin,6/6/2016,false
2002,Kanlam,1/20/2016,false
1994,Home Ing,10/21/2015,false
1994,Cardguard,6/24/2016,true
1991,Sub-Ex,8/9/2016,true
2013,Tin,6/8/2016,true
1993,Tin,5/4/2016,false
1992,Zoolab,12/1/2015,true
2009,Asoka,5/12/2016,false
1999,Zamit,12/13/2015,true
1991,Bitwolf,12/16/2015,true
1997,Sonair,9/4/2016,true
2016,Matsoft,4/9/2016,true
2010,Y-Solowarm,4/24/2016,true
1992,Sonair,12/20/2015,true
2007,Zoolab,8/28/2016,false
2014,Tempsoft,2/19/2016,true
2006,Zamit,1/12/2016,true
1997,Job,12/23/2015,true
2016,Cardify,9/9/2016,true
2014,Viva,2/15/2016,false
2006,Aerified,5/7/2016,true
2008,Flexidy,1/27/2016,true
2009,Cardguard,3/29/2016,false
2014,Quo Lux,1/9/2016,true
2008,Stringtough,1/4/2016,true
2013,Zontrax,9/12/2016,true
1996,Zathin,11/11/2015,false
2012,Quo Lux,2/6/2016,false
1991,Toughjoyfax,10/12/2015,true
1993,Alphazap,10/19/2015,false
1999,Bitwolf,12/31/2015,true
2002,Tempsoft,12/16/2015,false
2013,Wrapsafe,12/3/2015,false
2012,Latlux,12/18/2015,true
2002,Matsoft,4/5/2016,true
2007,Fixflex,8/19/2016,false
2007,Zathin,2/25/2016,false
2007,Otcom,12/23/2015,false
1993,Keylex,11/18/2015,false
1997,Matsoft,3/5/2016,false
1992,Flowdesk,2/19/2016,false
2011,Transcof,1/26/2016,false
2012,Stringtough,10/29/2015,false
2013,Regrant,4/10/2016,false
